League Name,Date,Home Team,Home Score,Away Score,Away Team
Trendyol Süper Lig,09.08.2002 20:00,TRABZONSPOR,0,0,FENERBAHÇE
Trendyol Süper Lig,10.08.2002 17:00,İSTANBULSPOR A.Ş.,2,2,ADANASPOR A.Ş.
Trendyol Süper Lig,10.08.2002 19:00,MKE ANKARAGÜCÜ,1,1,MALATYASPOR
Trendyol Süper Lig,10.08.2002 19:00,DİYARBAKIRSPOR,1,1,ALTAY
Trendyol Süper Lig,10.08.2002 19:00,BURSASPOR,2,2,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,11.08.2002 17:00,GÖZTEPE A.Ş.,2,1,ELAZIĞSPOR
Trendyol Süper Lig,11.08.2002 19:00,GAZİANTEPSPOR,1,1,DENİZLİSPOR
Trendyol Süper Lig,11.08.2002 19:00,KOCAELİSPOR,1,3,GENÇLERBİRLİĞİ
Trendyol Süper Lig,11.08.2002 19:00,GALATASARAY,4,1,SAMSUNSPOR
Trendyol Süper Lig,16.08.2002 20:00,DENİZLİSPOR,1,3,GALATASARAY
Trendyol Süper Lig,17.08.2002 17:00,ELAZIĞSPOR,2,0,TRABZONSPOR
Trendyol Süper Lig,17.08.2002 19:00,BEŞİKTAŞ A.Ş.,2,1,KOCAELİSPOR
Trendyol Süper Lig,17.08.2002 19:00,GENÇLERBİRLİĞİ,4,1,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,17.08.2002 19:00,MALATYASPOR,1,1,GAZİANTEPSPOR
Trendyol Süper Lig,17.08.2002 19:00,SAMSUNSPOR,1,0,BURSASPOR
Trendyol Süper Lig,18.08.2002 19:00,FENERBAHÇE,1,0,MKE ANKARAGÜCÜ
Trendyol Süper Lig,18.08.2002 19:00,ADANASPOR A.Ş.,2,1,DİYARBAKIRSPOR
Trendyol Süper Lig,18.08.2002 19:00,ALTAY,4,2,GÖZTEPE A.Ş.
Trendyol Süper Lig,24.08.2002 17:00,GÖZTEPE A.Ş.,1,4,ADANASPOR A.Ş.
