League,Date,Home Team,Away Team,Home Score,Away Score
Bundesliga,May 2002,Bayer Leverkusen,Hertha Berlin,2,1
Bundesliga,May 2002,Bayern Munich,Hansa Rostock,3,2
Bundesliga,May 2002,Borussia Dortmund,Werder Bremen,2,1
Bundesliga,May 2002,Energie Cottbus,Cologne,2,3
Bundesliga,May 2002,FC St. Pauli,FC Nurnberg,2,3
Bundesliga,May 2002,FC Nurnberg,Bayer Leverkusen,1,0
Bundesliga,May 2002,Werder Bremen,FC St. Pauli,3,2
Bundesliga,May 2002,Wolfsburg,Bayern Munich,0,1
Bundesliga,May 2002,Bayer Leverkusen,Werder Bremen,1,2
Bundesliga,May 2002,Bayern Munich,Hertha Berlin,3,0
Bundesliga,May 2002,Borussia Dortmund,Cologne,2,1
Bundesliga,May 2002,Energie Cottbus,1860 Munich,1,1
Bundesliga,May 2002,Wolfsburg,Hansa Rostock,4,0
Bundesliga,May 2002,Cologne,FC St. Pauli,2,1
Bundesliga,May 2002,FC Nurnberg,Bayern Munich,1,2
Bundesliga,May 2002,Hertha Berlin,Hansa Rostock,1,0
Bundesliga,May 2002,Borussia Dortmund,1860 Munich,2,1
Bundesliga,May 2002,Bayer Leverkusen,Cologne,2,0
Bundesliga,May 2002,Bayern Munich,Werder Bremen,2,1
Bundesliga,May 2002,Hansa Rostock,FC Nurnberg,1,0
Bundesliga,May 2002,Wolfsburg,Hertha Berlin,1,3
Bundesliga,May 2002,Werder Bremen,Hansa Rostock,4,3
Bundesliga,May 2002,1860 Munich,FC St. Pauli,4,2
Bundesliga,May 2002,FC Nurnberg,Wolfsburg,3,0
Bundesliga,May 2002,Borussia Dortmund,Energie Cottbus,3,0
Bundesliga,May 2002,Wolfsburg,Werder Bremen,2,0
Bundesliga,May 2002,Bayer Leverkusen,1860 Munich,4,0
Bundesliga,May 2002,Bayern Munich,Cologne,3,0
Bundesliga,May 2002,Hertha Berlin,FC Nurnberg,2,0
Bundesliga,May 2002,Cologne,Hansa Rostock,4,2
Bundesliga,May 2002,Energie Cottbus,FC St. Pauli,4,0
Bundesliga,May 2002,Werder Bremen,Hertha Berlin,0,3
Bundesliga,May 2002,Bayer Leverkusen,Energie Cottbus,2,0
Bundesliga,May 2002,Bayern Munich,1860 Munich,2,1
Bundesliga,May 2002,FC Nurnberg,Werder Bremen,0,4
Bundesliga,May 2002,Wolfsburg,Cologne,5,1
Bundesliga,May 2002,Borussia Dortmund,FC St. Pauli,1,1
Bundesliga,May 2002,1860 Munich,Hansa Rostock,2,0
Bundesliga,May 2002,Cologne,Hertha Berlin,1,1
Bundesliga,May 2002,Bayer Leverkusen,Borussia Dortmund,4,0
Bundesliga,May 2002,Bayern Munich,Energie Cottbus,6,0
Bundesliga,May 2002,FC Nurnberg,Cologne,2,0
Bundesliga,May 2002,Wolfsburg,1860 Munich,1,3
Bundesliga,May 2002,Cologne,Werder Bremen,0,0
Bundesliga,May 2002,Energie Cottbus,Hansa Rostock,3,0
Bundesliga,May 2002,1860 Munich,Hertha Berlin,0,3
Bundesliga,May 2002,FC St. Pauli,Bayer Leverkusen,2,2
