League,Date,Home Team,Away Team,Home Score,Away Score
La Liga,May 2024,Getafe,Real Mallorca,1,2
La Liga,May 2024,Celta Vigo,Valencia,2,2
La Liga,May 2024,Las Palmas,Alaves,1,1
La Liga,May 2024,Sevilla,Barcelona,1,2
La Liga,May 2024,Osasuna,Villarreal,1,1
La Liga,May 2024,Real Sociedad,Atletico Madrid,0,2
La Liga,May 2024,Almeria,Cadiz,6,1
La Liga,May 2024,Rayo Vallecano,Athletic Bilbao,0,1
La Liga,May 2024,Real Madrid,Real Betis,0,0
La Liga,May 2024,Girona,Granada,7,0
La Liga,May 2024,Athletic Bilbao,Sevilla,2,0
La Liga,May 2024,Atletico Madrid,Osasuna,1,4
La Liga,May 2024,Barcelona,Rayo Vallecano,3,0
La Liga,May 2024,Cadiz,Las Palmas,0,0
La Liga,May 2024,Granada,Celta Vigo,1,2
La Liga,May 2024,Real Betis,Real Sociedad,0,2
La Liga,May 2024,Real Mallorca,Almeria,2,2
La Liga,May 2024,Valencia,Girona,1,3
La Liga,May 2024,Villarreal,Real Madrid,4,4
La Liga,May 2024,Alaves,Getafe,1,0
La Liga,May 2024,Las Palmas,Real Betis,2,2
La Liga,May 2024,Almeria,Barcelona,0,2
La Liga,May 2024,Real Sociedad,Valencia,1,0
La Liga,May 2024,Rayo Vallecano,Granada,2,1
La Liga,May 2024,Sevilla,Cadiz,0,1
La Liga,May 2024,Celta Vigo,Athletic Bilbao,2,1
La Liga,May 2024,Getafe,Atletico Madrid,0,3
La Liga,May 2024,Osasuna,Real Mallorca,1,1
La Liga,May 2024,Real Madrid,Alaves,5,0
La Liga,May 2024,Girona,Villarreal,0,1
La Liga,May 2024,Barcelona,Real Sociedad,2,0
La Liga,May 2024,Cadiz,Getafe,1,0
La Liga,May 2024,Atletico Madrid,Celta Vigo,1,0
La Liga,May 2024,Valencia,Rayo Vallecano,0,0
La Liga,May 2024,Real Betis,Almeria,3,2
La Liga,May 2024,Real Mallorca,Las Palmas,1,0
La Liga,May 2024,Villarreal,Sevilla,3,2
La Liga,May 2024,Granada,Real Madrid,0,4
La Liga,May 2024,Athletic Bilbao,Osasuna,2,2
La Liga,May 2024,Alaves,Girona,2,2
La Liga,May 2024,Osasuna,Real Betis,0,2
La Liga,May 2024,Celta Vigo,Villarreal,3,2
La Liga,May 2024,Valencia,Alaves,0,1
La Liga,May 2024,Rayo Vallecano,Almeria,0,1
La Liga,May 2024,Sevilla,Granada,3,0
La Liga,May 2024,Real Sociedad,Las Palmas,2,0
La Liga,May 2024,Real Madrid,Cadiz,3,0
La Liga,May 2024,Girona,Barcelona,4,2
La Liga,May 2024,Real Mallorca,Atletico Madrid,0,1
La Liga,May 2024,Getafe,Athletic Bilbao,0,2
La Liga,May 2024,Barcelona,Valencia,4,2
La Liga,May 2024,Cadiz,Real Mallorca,1,1
La Liga,May 2024,Granada,Osasuna,3,0
La Liga,May 2024,Villarreal,Rayo Vallecano,3,0
