Home Team,Score,Away Team
ANKARA DEMİRSPOR,2 - 1,KARACABEY BELEDİYE SPOR A.Ş.
BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.,0 - 1,ANKARASPOR
KIRŞEHİR FUTBOL SPOR KULÜBÜ,1 - 3,ESENLER EROKSPOR
BUCASPOR 1928,0 - 1,BITEXEN VAN SPOR FK
ADIYAMAN FUTBOL KULÜBÜ A.Ş.,1 - 2,DİYARBEKİR SPOR A.Ş.
SERİK BELEDİYESPOR,1 - 0,HES İLAÇ AFYONSPOR KULÜBÜ
WEECOINS KIRKLARELİSPOR,0 - 0,1461 TRABZON FK
BURSASPOR,1 - 1,YENİ MERSİN İDMANYURDU FUTBOL A.Ş.
ALTINORDU,2 - 3,NAZİLLİ BELEDİYESPOR
YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,1 - 1,BUCASPOR 1928
KARACABEY BELEDİYE SPOR A.Ş.,2 - 0,BURSASPOR
DİYARBEKİR SPOR A.Ş.,1 - 0,SERİK BELEDİYESPOR
BITEXEN VAN SPOR FK,2 - 1,ADIYAMAN FUTBOL KULÜBÜ A.Ş.
ANKARASPOR,3 - 0,ANKARA DEMİRSPOR
ESENLER EROKSPOR,4 - 0,WEECOINS KIRKLARELİSPOR
1461 TRABZON FK,2 - 0,ZONGULDAK KÖMÜRSPOR A.Ş
NAZİLLİ BELEDİYESPOR,1 - 0,BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.
HES İLAÇ AFYONSPOR KULÜBÜ,1 - 1,KIRŞEHİR FUTBOL SPOR KULÜBÜ
BURSASPOR,2 - 0,ANKARASPOR
ZONGULDAK KÖMÜRSPOR A.Ş,0 - 1,ESENLER EROKSPOR
KIRŞEHİR FUTBOL SPOR KULÜBÜ,1 - 1,DİYARBEKİR SPOR A.Ş.
WEECOINS KIRKLARELİSPOR,1 - 2,HES İLAÇ AFYONSPOR KULÜBÜ
SERİK BELEDİYESPOR,0 - 2,BITEXEN VAN SPOR FK
BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.,2 - 1,ALTINORDU
BUCASPOR 1928,1 - 0,KARACABEY BELEDİYE SPOR A.Ş.
ADIYAMAN FUTBOL KULÜBÜ A.Ş.,0 - 0,YENİ MERSİN İDMANYURDU FUTBOL A.Ş.
ANKARA DEMİRSPOR,1 - 2,NAZİLLİ BELEDİYESPOR
ESENLER EROKSPOR,1 - 0,1461 TRABZON FK
ANKARASPOR,1 - 1,BUCASPOR 1928
KARACABEY BELEDİYE SPOR A.Ş.,0 - 1,ADIYAMAN FUTBOL KULÜBÜ A.Ş.
ALTINORDU,1 - 2,ANKARA DEMİRSPOR
NAZİLLİ BELEDİYESPOR,1 - 0,BURSASPOR
VAN SPOR FK,2 - 0,KIRŞEHİR FUTBOL SPOR KULÜBÜ
DİYARBEKİR SPOR A.Ş.,2 - 0,WEECOINS KIRKLARELİSPOR
YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,1 - 0,SERİK BELEDİYESPOR
HES İLAÇ AFYONSPOR KULÜBÜ,1 - 1,ZONGULDAK KÖMÜRSPOR A.Ş
BUCASPOR 1928,3 - 1,NAZİLLİ BELEDİYESPOR
ANKARA DEMİRSPOR,2 - 1,BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.
SERİK BELEDİYESPOR,0 - 0,KARACABEY BELEDİYE SPOR A.Ş.
BURSASPOR,1 - 1,ALTINORDU
WEECOINS KIRKLARELİSPOR,1 - 2,VAN SPOR FK
ADIYAMAN FUTBOL KULÜBÜ A.Ş.,0 - 2,ANKARASPOR
ZONGULDAK KÖMÜRSPOR A.Ş,0 - 0,DİYARBEKİR SPOR A.Ş.
1461 TRABZON FK,3 - 0,HES İLAÇ AFYONSPOR KULÜBÜ
KIRŞEHİR FUTBOL SPOR KULÜBÜ,1 - 3,YENİ MERSİN İDMANYURDU FUTBOL A.Ş.
ALTINORDU,0 - 0,BUCASPOR 1928
ANKARASPOR,2 - 0,SERİK BELEDİYESPOR
NAZİLLİ BELEDİYESPOR,3 - 0,ADIYAMAN FUTBOL KULÜBÜ A.Ş.
YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,3 - 1,WEECOINS KIRKLARELİSPOR
BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.,1 - 1,BURSASPOR
DİYARBEKİR SPOR A.Ş.,0 - 1,1461 TRABZON FK
HES İLAÇ AFYONSPOR KULÜBÜ,0 - 1,ESENLER EROKSPOR
KARACABEY BELEDİYE SPOR A.Ş.,3 - 0,KIRŞEHİR FUTBOL SPOR KULÜBÜ
