League Name,Match Date,Home Team,Away Team,Score
LaLiga2,,,,
LaLiga2,Sat9/2/00,Albacete,CD Tenerife,1:0
LaLiga2,,Getafe,Córdoba CF,0:0
LaLiga2,,UE Lleida,SD Eibar,0:0
LaLiga2,Sun9/3/00,SD Compostela,Real Betis,0:0
LaLiga2,,CD Leganés,Extremadura,1:1
LaLiga2,,Levante,Atlético Madrid,4:1
LaLiga2,,Real Jaén CF,Racing Ferrol,1:0
LaLiga2,,Elche CF,UD Salamanca,2:0
LaLiga2,,Sporting Gijón,Uni. Las Palmas,0:0
LaLiga2,,Recr. Huelva,CD Badajoz,0:0
LaLiga2,,Sevilla FC,Real Murcia,2:1
LaLiga2,,,,
LaLiga2,Sat9/9/00,Atlético Madrid,Recr. Huelva,0:1
LaLiga2,,Uni. Las Palmas,Getafe,0:1
LaLiga2,Sun9/10/00,CD Tenerife,Sporting Gijón,1:0
LaLiga2,,Real Betis,Elche CF,1:2
LaLiga2,,SD Eibar,CD Leganés,0:1
LaLiga2,,CD Badajoz,Real Jaén CF,0:1
LaLiga2,,Real Murcia,UE Lleida,0:0
LaLiga2,,UD Salamanca,Sevilla FC,0:1
LaLiga2,,Extremadura,Albacete,1:1
LaLiga2,,Córdoba CF,Levante,1:1
LaLiga2,,Racing Ferrol,SD Compostela,1:3
LaLiga2,,,,
LaLiga2,Sat9/16/00,Albacete,SD Eibar,1:3
LaLiga2,,Elche CF,Sevilla FC,1:2
LaLiga2,Sun9/17/00,Getafe,CD Tenerife,0:5
LaLiga2,,Real Betis,Racing Ferrol,2:1
LaLiga2,,UE Lleida,UD Salamanca,0:3
LaLiga2,,CD Leganés,Real Murcia,3:2
LaLiga2,,Levante,Uni. Las Palmas,2:0
LaLiga2,,Real Jaén CF,Atlético Madrid,1:0
LaLiga2,,Sporting Gijón,Extremadura,2:0
LaLiga2,,Recr. Huelva,Córdoba CF,1:0
LaLiga2,,SD Compostela,CD Badajoz,0:1
LaLiga2,,,,
LaLiga2,Sat9/23/00,CD Tenerife,Levante,1:1
LaLiga2,,Atlético Madrid,SD Compostela,2:0
LaLiga2,,Córdoba CF,Real Jaén CF,1:0
LaLiga2,,Uni. Las Palmas,Recr. Huelva,0:0
LaLiga2,,Racing Ferrol,Elche CF,2:1
LaLiga2,Sun9/24/00,Sevilla FC,UE Lleida,2:0
LaLiga2,,CD Badajoz,Real Betis,0:0
LaLiga2,,SD Eibar,Sporting Gijón,0:0
LaLiga2,,Real Murcia,Albacete,2:0
LaLiga2,,UD Salamanca,CD Leganés,1:1
LaLiga2,,Extremadura,Getafe,1:0
LaLiga2,,,,
LaLiga2,Sat9/30/00,Recr. Huelva,CD Tenerife,0:0
LaLiga2,,CD Leganés,Sevilla FC,1:1
LaLiga2,,Elche CF,UE Lleida,2:1
LaLiga2,,Racing Ferrol,CD Badajoz,2:2
LaLiga2,Sun10/1/00,Real Betis,Atlético Madrid,1:1
LaLiga2,,SD Compostela,Córdoba CF,0:1
LaLiga2,,Getafe,SD Eibar,0:0
LaLiga2,,Levante,Extremadura,1:0
LaLiga2,,Albacete,UD Salamanca,1:0
LaLiga2,,Real Jaén CF,Uni. Las Palmas,1:0
LaLiga2,,Sporting Gijón,Real Murcia,2:2
LaLiga2,,,,
LaLiga2,Sat10/7/00,Córdoba CF,Real Betis,1:0
LaLiga2,,SD Eibar,Levante,0:0
LaLiga2,Sun10/8/00,CD Tenerife,Real Jaén CF,1:1
LaLiga2,,Sevilla FC,Albacete,1:0
LaLiga2,,Atlético Madrid,Racing Ferrol,1:1
LaLiga2,,UE Lleida,CD Leganés,1:0
LaLiga2,,Uni. Las Palmas,SD Compostela,1:1
LaLiga2,,Extremadura,Recr. Huelva,1:1
LaLiga2,,UD Salamanca,Sporting Gijón,2:1
LaLiga2,,Real Murcia,Getafe,2:1
LaLiga2,,CD Badajoz,Elche CF,1:1
LaLiga2,,,,
LaLiga2,Sat10/14/00,Real Betis,Uni. Las Palmas,2:0
LaLiga2,,CD Badajoz,Atlético Madrid,0:0
LaLiga2,Sun10/15/00,SD Compostela,CD Tenerife,0:2
LaLiga2,,Sporting Gijón,Sevilla FC,3:0
LaLiga2,,Albacete,UE Lleida,2:1
LaLiga2,,Getafe,UD Salamanca,1:2
LaLiga2,,Real Jaén CF,Extremadura,0:0
LaLiga2,,Elche CF,CD Leganés,1:1
LaLiga2,,Recr. Huelva,SD Eibar,3:0
LaLiga2,,Racing Ferrol,Córdoba CF,0:2
LaLiga2,,Levante,Real Murcia,2:3
LaLiga2,,,,
LaLiga2,Sat10/21/00,CD Tenerife,Real Betis,0:1
LaLiga2,,Atlético Madrid,Elche CF,2:0
LaLiga2,,Uni. Las Palmas,Racing Ferrol,1:3
LaLiga2,Sun10/22/00,Sevilla FC,Getafe,1:1
LaLiga2,,UE Lleida,Sporting Gijón,0:1
LaLiga2,,SD Eibar,Real Jaén CF,1:0
LaLiga2,,CD Leganés,Albacete,0:0
LaLiga2,,Real Murcia,Recr. Huelva,2:0
LaLiga2,,UD Salamanca,Levante,1:1
LaLiga2,,Extremadura,SD Compostela,3:2
LaLiga2,,Córdoba CF,CD Badajoz,2:0
LaLiga2,,,,
LaLiga2,Sat10/28/00,Racing Ferrol,CD Tenerife,1:2
LaLiga2,,Levante,Sevilla FC,2:0
LaLiga2,,CD Badajoz,Uni. Las Palmas,3:1
LaLiga2,,SD Compostela,SD Eibar,2:1
LaLiga2,,Recr. Huelva,UD Salamanca,0:0
LaLiga2,Sun10/29/00,Real Betis,Extremadura,1:0
LaLiga2,,Atlético Madrid,Córdoba CF,1:1
LaLiga2,,Getafe,UE Lleida,2:1
LaLiga2,,Real Jaén CF,Real Murcia,2:1
LaLiga2,,Elche CF,Albacete,0:1
LaLiga2,,Sporting Gijón,CD Leganés,2:2
LaLiga2,,,,
LaLiga2,Wed11/1/00,CD Tenerife,CD Badajoz,3:0
LaLiga2,,Sevilla FC,Recr. Huelva,0:0
LaLiga2,,SD Eibar,Real Betis,0:0
LaLiga2,,Uni. Las Palmas,Atlético Madrid,2:1
LaLiga2,,UE Lleida,Levante,3:3
LaLiga2,,CD Leganés,Getafe,2:3
LaLiga2,,Real Murcia,SD Compostela,2:0
LaLiga2,,UD Salamanca,Real Jaén CF,1:0
LaLiga2,,Extremadura,Racing Ferrol,1:0
LaLiga2,,Albacete,Sporting Gijón,3:1
LaLiga2,,Córdoba CF,Elche CF,0:1
LaLiga2,,,,
LaLiga2,Sat11/4/00,Real Jaén CF,Sevilla FC,2:1
LaLiga2,Sun11/5/00,Atlético Madrid,CD Tenerife,1:2
LaLiga2,,Real Betis,Real Murcia,2:1
LaLiga2,,CD Badajoz,Extremadura,1:1
LaLiga2,,SD Compostela,UD Salamanca,2:1
LaLiga2,,Getafe,Albacete,1:1
LaLiga2,,Levante,CD Leganés,0:2
LaLiga2,,Elche CF,Sporting Gijón,2:2
LaLiga2,,Recr. Huelva,UE Lleida,1:1
LaLiga2,,Córdoba CF,Uni. Las Palmas,2:1
LaLiga2,,Racing Ferrol,SD Eibar,0:1
LaLiga2,,,,
LaLiga2,Sat11/11/00,Extremadura,Atlético Madrid,0:1
LaLiga2,,Uni. Las Palmas,Elche CF,2:2
LaLiga2,Sun11/12/00,CD Tenerife,Córdoba CF,3:0
LaLiga2,,Sevilla FC,SD Compostela,4:0
LaLiga2,,UD Salamanca,Real Betis,1:0
LaLiga2,,UE Lleida,Real Jaén CF,5:2
LaLiga2,,Albacete,Levante,1:1
LaLiga2,,Sporting Gijón,Getafe,3:1
LaLiga2,,SD Eibar,CD Badajoz,0:1
LaLiga2,,CD Leganés,Recr. Huelva,1:1
LaLiga2,,Real Murcia,Racing Ferrol,1:1
LaLiga2,,,,
LaLiga2,Sat11/18/00,Uni. Las Palmas,CD Tenerife,0:1
LaLiga2,,Atlético Madrid,SD Eibar,1:1
LaLiga2,,Recr. Huelva,Albacete,1:0
LaLiga2,Sun11/19/00,Real Betis,Sevilla FC,1:3
LaLiga2,,SD Compostela,UE Lleida,2:1
LaLiga2,,Córdoba CF,Extremadura,2:0
LaLiga2,,Elche CF,Getafe,1:4
LaLiga2,,Racing Ferrol,UD Salamanca,0:1
LaLiga2,,Real Jaén CF,CD Leganés,0:0
LaLiga2,,Levante,Sporting Gijón,1:1
LaLiga2,,CD Badajoz,Real Murcia,1:1
LaLiga2,,,,
LaLiga2,Sat11/25/00,UE Lleida,Real Betis,0:1
LaLiga2,,Extremadura,Uni. Las Palmas,2:1
LaLiga2,Sun11/26/00,CD Tenerife,Elche CF,3:1
LaLiga2,,Sevilla FC,Racing Ferrol,3:0
LaLiga2,,Real Murcia,Atlético Madrid,1:1
LaLiga2,,SD Eibar,Córdoba CF,3:0
LaLiga2,,Albacete,Real Jaén CF,2:1
LaLiga2,,Getafe,Levante,1:2
LaLiga2,,UD Salamanca,CD Badajoz,1:1
LaLiga2,,CD Leganés,SD Compostela,3:0
LaLiga2,,Sporting Gijón,Recr. Huelva,0:1
LaLiga2,,,,
LaLiga2,Sat12/2/00,Atlético Madrid,UD Salamanca,3:0
LaLiga2,,Racing Ferrol,UE Lleida,3:1
LaLiga2,,Recr. Huelva,Getafe,0:0
LaLiga2,,Elche CF,Levante,1:1
LaLiga2,,Uni. Las Palmas,SD Eibar,0:0
LaLiga2,Sun12/3/00,CD Tenerife,Extremadura,0:2
LaLiga2,,CD Badajoz,Sevilla FC,2:0
LaLiga2,,Real Betis,CD Leganés,2:1
LaLiga2,,Córdoba CF,Real Murcia,1:3
LaLiga2,,SD Compostela,Albacete,0:2
LaLiga2,,Real Jaén CF,Sporting Gijón,0:2
LaLiga2,,,,
LaLiga2,Sat12/9/00,SD Eibar,CD Tenerife,2:2
LaLiga2,,UE Lleida,CD Badajoz,1:1
LaLiga2,,UD Salamanca,Córdoba CF,1:1
LaLiga2,,Getafe,Real Jaén CF,0:1
LaLiga2,,Extremadura,Elche CF,1:2
