League Name,Date,Home Team,Home Score,Away Score,Away Team
Trendyol Süper Lig,09.08.2002 20:00,TRABZONSPOR,0,0,FENERBAHÇE
Trendyol Süper Lig,10.08.2002 17:00,İSTANBULSPOR A.Ş.,2,2,ADANASPOR A.Ş.
Trendyol Süper Lig,10.08.2002 19:00,MKE ANKARAGÜCÜ,1,1,MALATYASPOR
Trendyol Süper Lig,10.08.2002 19:00,DİYARBAKIRSPOR,1,1,ALTAY
Trendyol Süper Lig,10.08.2002 19:00,BURSASPOR,2,2,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,11.08.2002 17:00,GÖZTEPE A.Ş.,2,1,ELAZIĞSPOR
Trendyol Süper Lig,11.08.2002 19:00,GAZİANTEPSPOR,1,1,DENİZLİSPOR
Trendyol Süper Lig,11.08.2002 19:00,KOCAELİSPOR,1,3,GENÇLERBİRLİĞİ
Trendyol Süper Lig,11.08.2002 19:00,GALATASARAY,4,1,SAMSUNSPOR
Trendyol Süper Lig,10.08.2001 20:04,BEŞİKTAŞ,1,2,TRABZONSPOR
Trendyol Süper Lig,11.08.2001 17:00,GÖZTEPE A.Ş.,2,0,BURSASPOR
Trendyol Süper Lig,11.08.2001 19:00,GENÇLERBİRLİĞİ,4,4,DİYARBAKIRSPOR
Trendyol Süper Lig,11.08.2001 19:00,FENERBAHÇE,3,0,SAMSUNSPOR
Trendyol Süper Lig,11.08.2001 19:05,ÇAYKUR RİZESPOR,0,0,KOCAELİSPOR
Trendyol Süper Lig,12.08.2001 17:00,İSTANBULSPOR A.Ş.,1,0,MALATYASPOR
Trendyol Süper Lig,12.08.2001 19:00,ANTALYASPOR A.Ş.,1,8,MKE ANKARAGÜCÜ
Trendyol Süper Lig,12.08.2001 19:00,DENİZLİSPOR,5,0,YİMPAŞ YOZGATSPOR A.Ş.
Trendyol Süper Lig,12.08.2001 19:00,GAZİANTEPSPOR,1,1,GALATASARAY
Trendyol Süper Lig,11.08.2000 20:00,KOCAELİSPOR,0,4,FENERBAHÇE
