League Name,Date,Home Team,Home Score,Away Score,Away Team
Trendyol Süper Lig,10.09.2011 17:30,ESKİŞEHİRSPOR,2,1,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,10.09.2011 17:30,SAMSUNSPOR,3,2,GENÇLERBİRLİĞİ
Trendyol Süper Lig,10.09.2011 20:00,MKE ANKARAGÜCÜ,1,2,MERSİN İDMAN YURDU
Trendyol Süper Lig,10.09.2011 20:00,MANİSASPOR,1,1,TRABZONSPOR A.Ş.
Trendyol Süper Lig,11.09.2011 17:30,BURSASPOR,3,0,KAYSERİSPOR
Trendyol Süper Lig,11.09.2011 17:30,KARDEMİR D.Ç. KARABÜKSPOR,2,1,SİVASSPOR
Trendyol Süper Lig,11.09.2011 20:00,MEDİCAL PARK ANTALYASPOR,1,0,GAZİANTEPSPOR
Trendyol Süper Lig,11.09.2011 20:00,BÜYÜKŞEHİR BLD.SPOR,2,0,GALATASARAY A.Ş.
Trendyol Süper Lig,12.09.2011 20:02,FENERBAHÇE A.Ş.,1,0,ORDUSPOR
Trendyol Süper Lig,17.08.2012 21:00,ESKİŞEHİRSPOR,0,1,AKHİSAR BELEDİYE GENÇLİK VE SPOR
Trendyol Süper Lig,18.08.2012 17:00,KARDEMİR D.Ç. KARABÜKSPOR,1,1,TRABZONSPOR A.Ş.
Trendyol Süper Lig,18.08.2012 21:45,GAZİANTEPSPOR,0,1,SİVASSPOR
Trendyol Süper Lig,18.08.2012 21:45,SANİCA BORU ELAZIĞSPOR,1,1,FENERBAHÇE A.Ş.
Trendyol Süper Lig,19.08.2012 20:00,İSTANBUL BBSK,1,1,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,19.08.2012 20:00,KAYSERİSPOR,0,1,BURSASPOR
Trendyol Süper Lig,19.08.2012 21:45,MERSİN İDMANYURDU,0,0,ORDUSPOR
Trendyol Süper Lig,20.08.2012 19:30,GENÇLERBİRLİĞİ,3,1,MEDİCAL PARK ANTALYASPOR
Trendyol Süper Lig,20.08.2012 21:00,GALATASARAY A.Ş.,2,1,KASIMPAŞA A.Ş.
Trendyol Süper Lig,16.09.2011 20:00,KAYSERİSPOR,0,1,MEDİCAL PARK ANTALYASPOR
Trendyol Süper Lig,16.09.2011 20:00,GAZİANTEPSPOR,1,3,FENERBAHÇE A.Ş.
Trendyol Süper Lig,17.09.2011 17:30,GENÇLERBİRLİĞİ,2,1,KARDEMİR D.Ç. KARABÜKSPOR
Trendyol Süper Lig,17.09.2011 20:00,ORDUSPOR,1,0,MANİSASPOR
Trendyol Süper Lig,17.09.2011 20:03,TRABZONSPOR A.Ş.,0,1,İSTANBUL BŞ BLD. SPOR
Trendyol Süper Lig,18.09.2011 16:00,MERSİN İDMAN YURDU,1,3,BURSASPOR
Trendyol Süper Lig,18.09.2011 17:30,SİVASSPOR,0,4,ESKİŞEHİRSPOR
Trendyol Süper Lig,18.09.2011 20:00,GALATASARAY A.Ş.,3,1,SAMSUNSPOR
Trendyol Süper Lig,19.09.2011 20:02,BEŞİKTAŞ A.Ş.,3,1,MKE ANKARAGÜCÜ
Trendyol Süper Lig,24.08.2012 21:00,KASIMPAŞA A.Ş.,2,1,KARDEMİR D.Ç. KARABÜKSPOR
Trendyol Süper Lig,25.08.2012 19:00,SİVASSPOR,3,3,MERSİN İDMANYURDU
Trendyol Süper Lig,25.08.2012 20:00,ORDUSPOR,2,0,ESKİŞEHİRSPOR
Trendyol Süper Lig,25.08.2012 21:45,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0,0,GENÇLERBİRLİĞİ
Trendyol Süper Lig,25.08.2012 21:45,FENERBAHÇE A.Ş.,3,0,GAZİANTEPSPOR
Trendyol Süper Lig,26.08.2012 19:00,BURSASPOR,0,1,İSTANBUL BBSK
Trendyol Süper Lig,26.08.2012 20:00,TRABZONSPOR A.Ş.,2,0,SANİCA BORU ELAZIĞSPOR
Trendyol Süper Lig,26.08.2012 21:45,BEŞİKTAŞ A.Ş.,3,3,GALATASARAY A.Ş.
Trendyol Süper Lig,27.08.2012 21:00,MEDİCAL PARK ANTALYASPOR,3,0,KAYSERİSPOR
Trendyol Süper Lig,20.09.2011 20:00,FENERBAHÇE A.Ş.,1,1,MANİSASPOR
Trendyol Süper Lig,20.09.2011 20:00,İSTANBUL BŞ BLD. SPOR,1,1,ORDUSPOR
Trendyol Süper Lig,20.09.2011 20:00,GAZİANTEPSPOR,1,2,KAYSERİSPOR
Trendyol Süper Lig,21.09.2011 18:45,KARDEMİR D.Ç. KARABÜKSPOR,1,1,GALATASARAY A.Ş.
Trendyol Süper Lig,21.09.2011 20:00,MEDİCAL PARK ANTALYASPOR,1,2,MERSİN İDMAN YURDU
Trendyol Süper Lig,21.09.2011 20:00,ESKİŞEHİRSPOR,0,0,GENÇLERBİRLİĞİ
Trendyol Süper Lig,21.09.2011 21:15,SAMSUNSPOR,1,1,TRABZONSPOR A.Ş.
Trendyol Süper Lig,22.09.2011 20:00,BURSASPOR,1,2,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,22.09.2011 20:00,MKE ANKARAGÜCÜ,1,2,SİVASSPOR
Trendyol Süper Lig,31.08.2012 19:00,GENÇLERBİRLİĞİ,1,1,ORDUSPOR
Trendyol Süper Lig,31.08.2012 21:15,MERSİN İDMANYURDU,1,3,ESKİŞEHİRSPOR
Trendyol Süper Lig,01.09.2012 18:00,İSTANBUL BBSK,0,1,MEDİCAL PARK ANTALYASPOR
Trendyol Süper Lig,01.09.2012 19:00,KAYSERİSPOR,1,1,AKHİSAR BELEDİYE GENÇLİK VE SPOR
Trendyol Süper Lig,01.09.2012 20:30,KARDEMİR D.Ç. KARABÜKSPOR,0,3,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,01.09.2012 21:15,SANİCA BORU ELAZIĞSPOR,0,3,KASIMPAŞA A.Ş.
Trendyol Süper Lig,02.09.2012 18:00,SİVASSPOR,0,0,FENERBAHÇE A.Ş.
Trendyol Süper Lig,02.09.2012 20:30,GALATASARAY A.Ş.,3,2,BURSASPOR
Trendyol Süper Lig,02.09.2012 21:00,GAZİANTEPSPOR,1,0,TRABZONSPOR A.Ş.
Trendyol Süper Lig,23.09.2011 20:00,KAYSERİSPOR,0,1,FENERBAHÇE A.Ş.
Trendyol Süper Lig,24.09.2011 18:00,MERSİN İDMAN YURDU,2,0,GAZİANTEPSPOR
Trendyol Süper Lig,24.09.2011 20:00,MANİSASPOR,0,2,İSTANBUL BŞ BLD. SPOR
Trendyol Süper Lig,24.09.2011 20:00,TRABZONSPOR A.Ş.,3,1,KARDEMİR D.Ç. KARABÜKSPOR
Trendyol Süper Lig,25.09.2011 17:30,SİVASSPOR,3,0,BURSASPOR
Trendyol Süper Lig,25.09.2011 17:30,ORDUSPOR,0,0,SAMSUNSPOR
Trendyol Süper Lig,25.09.2011 20:00,GENÇLERBİRLİĞİ,1,1,MKE ANKARAGÜCÜ
Trendyol Süper Lig,25.09.2011 20:00,BEŞİKTAŞ A.Ş.,1,0,MEDİCAL PARK ANTALYASPOR
Trendyol Süper Lig,26.09.2011 20:00,GALATASARAY A.Ş.,2,0,ESKİŞEHİRSPOR
Trendyol Süper Lig,15.09.2012 18:00,KASIMPAŞA A.Ş.,3,0,GAZİANTEPSPOR
Trendyol Süper Lig,15.09.2012 20:30,BURSASPOR,4,1,KARDEMİR D.Ç. KARABÜKSPOR
Trendyol Süper Lig,15.09.2012 20:30,MEDİCAL PARK ANTALYASPOR,0,4,GALATASARAY A.Ş.
Trendyol Süper Lig,16.09.2012 18:00,ESKİŞEHİRSPOR,4,2,GENÇLERBİRLİĞİ
Trendyol Süper Lig,16.09.2012 18:00,TRABZONSPOR A.Ş.,1,0,SİVASSPOR
Trendyol Süper Lig,16.09.2012 20:30,FENERBAHÇE A.Ş.,2,1,MERSİN İDMANYURDU
Trendyol Süper Lig,16.09.2012 20:30,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0,4,İSTANBUL BBSK
Trendyol Süper Lig,17.09.2012 20:00,BEŞİKTAŞ A.Ş.,3,0,SANİCA BORU ELAZIĞSPOR
Trendyol Süper Lig,17.09.2012 20:00,ORDUSPOR,3,2,KAYSERİSPOR
Trendyol Süper Lig,30.09.2011 20:00,BURSASPOR,4,0,GENÇLERBİRLİĞİ
Trendyol Süper Lig,01.10.2011 15:00,KARDEMİR D.Ç. KARABÜKSPOR,1,2,ORDUSPOR
Trendyol Süper Lig,01.10.2011 19:00,FENERBAHÇE A.Ş.,4,2,İSTANBUL BŞ BLD. SPOR
Trendyol Süper Lig,01.10.2011 20:00,MEDİCAL PARK ANTALYASPOR,2,2,SİVASSPOR
Trendyol Süper Lig,02.10.2011 15:00,SAMSUNSPOR,1,2,MANİSASPOR
Trendyol Süper Lig,02.10.2011 19:00,KAYSERİSPOR,2,2,MERSİN İDMAN YURDU
Trendyol Süper Lig,02.10.2011 19:00,MKE ANKARAGÜCÜ,0,3,GALATASARAY A.Ş.
Trendyol Süper Lig,02.10.2011 19:00,ESKİŞEHİRSPOR,0,2,TRABZONSPOR A.Ş.
Trendyol Süper Lig,03.10.2011 20:00,GAZİANTEPSPOR,0,0,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,21.09.2012 20:00,KARDEMİR D.Ç. KARABÜKSPOR,1,0,MEDİCAL PARK ANTALYASPOR
Trendyol Süper Lig,22.09.2012 17:00,İSTANBUL BBSK,1,1,ORDUSPOR
Trendyol Süper Lig,22.09.2012 17:00,KAYSERİSPOR,3,2,ESKİŞEHİRSPOR
Trendyol Süper Lig,22.09.2012 20:00,GAZİANTEPSPOR,3,2,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,22.09.2012 20:00,MERSİN İDMANYURDU,1,1,GENÇLERBİRLİĞİ
Trendyol Süper Lig,23.09.2012 17:00,SİVASSPOR,1,0,KASIMPAŞA A.Ş.
Trendyol Süper Lig,23.09.2012 17:00,SANİCA BORU ELAZIĞSPOR,1,1,BURSASPOR
Trendyol Süper Lig,23.09.2012 20:00,GALATASARAY A.Ş.,3,0,AKHİSAR BELEDİYE GENÇLİK VE SPOR
Trendyol Süper Lig,24.09.2012 20:00,FENERBAHÇE A.Ş.,0,0,TRABZONSPOR A.Ş.
Trendyol Süper Lig,14.10.2011 20:00,TRABZONSPOR A.Ş.,3,2,MKE ANKARAGÜCÜ
Trendyol Süper Lig,15.10.2011 15:00,ORDUSPOR,2,1,ESKİŞEHİRSPOR
Trendyol Süper Lig,15.10.2011 19:00,BEŞİKTAŞ A.Ş.,0,2,KAYSERİSPOR
Trendyol Süper Lig,15.10.2011 19:00,SİVASSPOR,0,0,GAZİANTEPSPOR
Trendyol Süper Lig,16.10.2011 15:00,GENÇLERBİRLİĞİ,3,0,MEDİCAL PARK ANTALYASPOR
Trendyol Süper Lig,16.10.2011 15:00,İSTANBUL BŞ BLD. SPOR,3,0,SAMSUNSPOR
Trendyol Süper Lig,16.10.2011 19:00,GALATASARAY A.Ş.,2,1,BURSASPOR
